DateTime,Device,Temperature_F
2025-09-29 11:42:37,Basement ESP8266,81.3,in_range
2025-09-29 11:51:56,Basement ESP8266,81.3,in_range
2025-09-29 11:52:39,Basement ESP8266,81.3,in_range
2025-09-29 12:01:58,Basement ESP8266,81.3,in_range
2025-09-29 12:02:40,Basement ESP8266,81.3,in_range
2025-09-29 12:11:59,Basement ESP8266,81.3,in_range
2025-09-29 12:12:41,Basement ESP8266,81.3,in_range
2025-09-29 12:22:00,Basement ESP8266,81.3,in_range
2025-09-29 12:22:42,Basement ESP8266,81.3,in_range
2025-09-29 12:32:01,Basement ESP8266,81.3,in_range
2025-09-29 12:32:44,Basement ESP8266,81.3,in_range
2025-09-29 12:42:03,Basement ESP8266,81.4,in_range
2025-09-29 12:42:45,Basement ESP8266,81.5,in_range
2025-09-29 12:52:04,Basement ESP8266,81.5,in_range
2025-09-29 12:52:47,Basement ESP8266,81.4,in_range
2025-09-29 13:02:05,Basement ESP8266,81.5,in_range
2025-09-29 13:02:48,Basement ESP8266,81.4,in_range
2025-09-29 13:12:07,Basement ESP8266,81.4,in_range
2025-09-29 13:12:49,Basement ESP8266,81.4,in_range
2025-09-29 13:22:08,Basement ESP8266,81.5,in_range
2025-09-29 13:22:50,Basement ESP8266,81.4,in_range
2025-09-29 13:32:10,Basement ESP8266,81.5,in_range
2025-09-29 13:32:52,Basement ESP8266,81.5,in_range
2025-09-29 13:42:11,Basement ESP8266,81.5,in_range
2025-09-29 13:42:53,Basement ESP8266,81.5,in_range
2025-09-29 13:52:12,Basement ESP8266,81.5,in_range
2025-09-29 13:52:54,Basement ESP8266,81.5,in_range
2025-09-29 14:02:13,Basement ESP8266,81.6,in_range
2025-09-29 14:02:55,Basement ESP8266,81.6,in_range
2025-09-29 14:12:14,Basement ESP8266,81.5,in_range
2025-09-29 14:12:56,Basement ESP8266,81.6,in_range
2025-09-29 14:22:15,Basement ESP8266,81.5,in_range
2025-09-29 14:22:57,Basement ESP8266,81.5,in_range
2025-09-29 14:32:17,Basement ESP8266,81.5,in_range
2025-09-29 14:32:58,Basement ESP8266,81.5,in_range
2025-09-29 14:42:18,Basement ESP8266,81.5,in_range
2025-09-29 14:43:00,Basement ESP8266,81.5,in_range
2025-09-29 14:52:20,Basement ESP8266,81.5,in_range
2025-09-29 14:53:01,Basement ESP8266,81.5,in_range
2025-09-29 15:02:21,Basement ESP8266,81.5,in_range
2025-09-29 15:03:03,Basement ESP8266,81.5,in_range
